"flow_biosample_id","batch","data_type","BM_fraction","mouse_id","sex","start_age","Tompos_sorted_cells","days_postTx","report_available","use_report","flow_sortdate","report_total_events","biosample_id","count","central__count","central_singlets__count","central_singlets_live__count","central_singlets_live_linneg__count","central_singlets_live_linneg_Lgate__count","central_singlets_live_linneg_Lgate_Tomneg__count","central_singlets_live_linneg_Lgate_Tompos__count","total_events","mancount_initial","mancount_final","central_singlets_live__estim_total","central_singlets_live_linneg__estim_total","central_singlets_live_linneg_Lgate__estim_total","central_singlets_live_linneg__freq_of_parent","central_singlets_live_linneg_Lgate_Tompos__estim_total","central_singlets_live_linneg_Lgate_Tompos__freq_of_parent"
"7w11w_lindep_146812.57b","7w11w","10x","lindep","146812.57b","M","young",1726,76,TRUE,TRUE,"08 06 2021",9079145,"7w11w_SITTA3_146812.57b",1140000,858000,837000,799000,384691,143805,143482,276,9079145,NA,6161250,6363365.6622807,3063741.55192544,1145286.35677632,0.481465581977472,2198.10878947368,0.00191926567226453
"7w11w_lindep_146812.57e","7w11w","10x","lindep","146812.57e","F","young",6713,76,TRUE,TRUE,"08 06 2021",8396970,"7w11w_SITTC3_146812.57e",1210000,838000,816000,769000,321211,127932,126694,1141,8396970,NA,6547500,5336586.71900826,2229090.19063636,887802.616561984,0.417699609882965,7918.13452066116,0.00891880061282556
"7w11w_lindep_146812.57f","7w11w","10x","lindep","146812.57f","F","young",9020,76,TRUE,TRUE,"08 06 2021",7253165,"7w11w_SITTA3_146812.57f",1210000,842000,828000,757000,388381,112715,110908,1608,7253165,NA,6895000,4537723.88842975,2328092.12881405,675653.299979339,0.513052840158521,9638.91679338843,0.0142660692898017
"7w11w_lindep_146815.60a","7w11w","10x","lindep","146815.60a","M","young",7101,76,TRUE,TRUE,"08 06 2021",7931354,"7w11w_SITTC3_146815.60a",1180000,877000,858000,808000,408000,170481,169057,1272,7931354,NA,7500000,5430961.0440678,2742366.46779661,1145885.72989322,0.504950495049505,8549.73075254237,0.00746124201523924
"7w11w_lindep_146817.63a","7w11w","10x","lindep","146817.63a","M","young",1196,49,TRUE,TRUE,"08 06 2021",7807116,"7w11w_SITTD3_146817.63a",1e+05,83337,81462,72886,36253,12592,12489,12,7807116,NA,5640000,5690294.56776,2830313.76348,983072.04672,0.497393189364213,936.85392,0.000952986022871665
"7w11w_lindep_146817.63b","7w11w","10x","lindep","146817.63b","M","young",1617,49,TRUE,TRUE,"08 06 2021",3671428,"7w11w_SITTF3_146817.63b",3180000,2620000,2560000,2310000,1280000,456000,453000,1481,3671428,NA,3675000,2666980.71698113,1477807.49685535,526468.920754717,0.554112554112554,1709.86945534591,0.00324780701754386
"7w11w_lindep_146817.63f","7w11w","10x","lindep","146817.63f","F","young",4622,49,TRUE,TRUE,"08 06 2021",5257315,"7w11w_SITTD3_146817.63f",3620000,2790000,2710000,2400000,1350000,474000,469000,3543,5257315,NA,3980625,3485512.70718232,1960600.89779006,688388.759668508,0.5625,5145.4881339779,0.0074746835443038
"7w11w_lindep_146817.63g","7w11w","10x","lindep","146817.63g","F","young",3851,49,TRUE,TRUE,"08 06 2021",8553899,"7w11w_SITTF3_146817.63g",5710000,4830000,4690000,4250000,2390000,675000,671000,3138,8553899,NA,6063750,6366737.43432574,3580353.52189142,1011187.71015762,0.562352941176471,4700.89931033275,0.00464888888888889
"9mo_lindep_14686.30a","9mo","10x","lindep","14686.30a","M","young",20000,269,TRUE,FALSE,"13 08 2020",NA,"9mo_SIGAF3_14686.30a",10900000,8810000,8520000,7550000,2630000,882000,860000,19931,NA,NA,NA,NA,NA,NA,0.348344370860927,NA,0.0225975056689342
"9mo_lindep_14686.30d","9mo","10x","lindep","14686.30d","M","young",20000,269,TRUE,TRUE,"13 08 2020",10764421,"9mo_SIGAE3_14686.30d",10800000,6640000,6360000,5220000,2550000,835000,789000,40592,10764421,NA,NA,5202803.48333333,2541599.40277778,832249.216203704,0.488505747126437,40458.2756696296,0.0486131736526946
"9mo_lindep_14686.30h","9mo","10x","lindep","14686.30h","F","young",20000,269,TRUE,TRUE,"13 08 2020",8354745,"9mo_SIGAF3_14686.30h",8410000,6040000,5770000,4900000,2410000,719000,670000,43272,8354745,NA,NA,4867806.24256837,2394165.9274673,714276.058858502,0.491836734693878,42987.6962711058,0.0601835883171071
"9mo_lindep_14686.30j","9mo","10x","lindep","14686.30j","F","young",20000,269,TRUE,FALSE,"13 08 2020",NA,"9mo_SIGAE3_14686.30j",8070000,6260000,6020000,5220000,2360000,769000,603000,142579,NA,NA,NA,NA,NA,NA,0.452107279693487,NA,0.185408322496749
